Program,Code,Title,Sec,Room 1,Room 2,Day 1,Day 2,Time 1,Time 2,Faculty,Initial,Credits
BSCSE,CSE 1102,Computer Fundamentals Laboratory,A,"406 (General Purpose Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1102,Computer Fundamentals Laboratory,B,"406 (General Purpose Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1102,Computer Fundamentals Laboratory,C,"406 (General Purpose Lab)",N/A,Sat,N/A,12:31:PM - 03:00:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1102,Computer Fundamentals Laboratory,D,"406 (General Purpose Lab)",N/A,Sun,N/A,12:31:PM - 03:00:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1102,Computer Fundamentals Laboratory,E,"406 (General Purpose Lab)",N/A,Sat,N/A,03:11:PM - 05:40:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1102,Computer Fundamentals Laboratory,F,"406 (General Purpose Lab)",N/A,Sun,N/A,03:11:PM - 05:40:PM, - ,Sanjida Hossain Ema,SHEa,1
BSCSE,CSE 1201,Discrete Mathematics,A,604,604,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 1201,Discrete Mathematics,B,604,604,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 1201,Discrete Mathematics,C,605,605,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 1201,Discrete Mathematics,D,605,605,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 1201,Discrete Mathematics,E,604,604,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 1201,Discrete Mathematics,F,604,604,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Dr. Mohammed Shafiul Alam,MdSm,3
BSCSE,CSE 2101,Object Oriented Programming,A,601,601,Sat,Tue,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2101,Object Oriented Programming,B,601,601,Sun,Wed,08:30:AM - 09:50:AM,08:30:AM - 09:50:AM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2101,Object Oriented Programming,C,603,603,Sat,Tue,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2101,Object Oriented Programming,D,603,603,Sun,Wed,09:51:AM - 11:10:AM,09:51:AM - 11:10:AM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2101,Object Oriented Programming,E,605,605,Sat,Tue,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2101,Object Oriented Programming,F,605,605,Sun,Wed,11:11:AM - 12:30:PM,11:11:AM - 12:30:PM,Mahfuzur Rahman,MFRh,3
BSCSE,CSE 2102,Object Oriented Programming Laboratory,A,"606 (Digital Logic Design Lab)",N/A,Sat,N/A,09:51:AM - 12:20:PM, - ,Mahfuzur Rahman,MFRh,1
BSCSE,CSE 2102,Object Oriented Programming Laboratory,B,"606 (Digital Logic Design Lab)",N/A,Sun,N/A,09:51:AM - 12:20:PM, - ,Mahfuzur Rahman,MFRh,1
